id,department,assignment_name,course,points_possible,assignment_id,unlock_at,lock_at,due_at,url,needs_grading_count,published,anonymous_grading,active,graded,ungraded,pc_graded,not_submitted,quiz,sas_exam,average_score,type,has_overrides,posted_at,rollover_to_course,previous_term_assignment,assignment_type,rubric_title
477611,School of Life Sciences,LIFE243 RESIT Exam - 40% Cycle 1,LIFE243-202324,,259161,,,,https://canvas.liverpool.ac.uk/courses/67692/assignments/259161,0,FALSE,FALSE,TRUE,0,0,,44,TRUE,FALSE,,,FALSE,,,,,
477612,School of Life Sciences,RESIT LIFE243.0 (60%) ISAP - 60% Cycle 2,LIFE243-202324,,259163,2023-08-07 08:30:00+00:00,2023-08-25 11:00:00+00:00,2023-08-24 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67692/assignments/259163,0,FALSE,FALSE,TRUE,0,0,,44,FALSE,FALSE,,,FALSE,,,,,
510309,School of Life Sciences,RESIT LIFE205.0 (60%) Cycle 2_FINAL,LIFE205-202324,,249789,,,,https://canvas.liverpool.ac.uk/courses/67617/assignments/249789,0,FALSE,FALSE,TRUE,0,0,,95,TRUE,FALSE,,,FALSE,,,,,
513265,School of Life Sciences,RESIT LIFE112.1 (40%) Cycle 1 Test 23/24 (Section 1-5),LIFE112-202324,,261629,2024-08-05 08:30:00+00:00,2024-08-30 15:00:00+00:00,2024-08-30 15:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69132/assignments/261629,0,FALSE,FALSE,TRUE,0,0,,79,TRUE,FALSE,,,FALSE,,,,,
518289,School of Life Sciences,Resit Cycle 1 Part A,LIFE110-202324,,262332,,,,https://canvas.liverpool.ac.uk/courses/68452/assignments/262332,0,TRUE,TRUE,TRUE,0,0,,104,TRUE,FALSE,,,FALSE,,,,,
518290,School of Life Sciences,"Resit, Cycle 1, Part A",LIFE110-202324,,262333,,,,https://canvas.liverpool.ac.uk/courses/68452/assignments/262333,0,FALSE,TRUE,TRUE,0,0,,104,TRUE,FALSE,,,FALSE,,,,,
518312,School of Life Sciences,RESIT LIFE128.0.1 (60%) MCQ Part 1  21/22,LIFE128-202324,,262430,2022-08-15 08:30:00+00:00,2022-08-19 15:00:00+00:00,2022-08-19 15:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69855/assignments/262430,0,FALSE,FALSE,TRUE,0,0,,304,TRUE,FALSE,,,FALSE,,,,,
518313,School of Life Sciences,RESIT LIFE128.0.2 (60%) MCQ Part 2 21/22,LIFE128-202324,,262431,2022-08-15 08:30:00+00:00,2022-08-19 15:00:00+00:00,2022-08-19 15:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69855/assignments/262431,0,FALSE,FALSE,TRUE,0,0,,304,TRUE,FALSE,,,FALSE,,,,,
523069,School of Life Sciences,RESIT LIFE126.0.2 (40%) 126 Cycle 2 Test 2 21/22,LIFE126-202324,,262440,2022-08-22 08:30:00+00:00,2022-08-24 15:00:00+00:00,2022-08-24 15:00:00+00:00,https://canvas.liverpool.ac.uk/courses/68625/assignments/262440,0,FALSE,FALSE,TRUE,0,0,,80,TRUE,FALSE,,,FALSE,,,,,
523070,School of Life Sciences,RESIT LIFE126.2.1 (40%) - Cycle 2 Test 1 MCQ 21/22__,LIFE126-202324,,262441,2022-08-15 08:30:00+00:00,2022-08-19 15:00:00+00:00,2022-08-19 15:00:00+00:00,https://canvas.liverpool.ac.uk/courses/68625/assignments/262441,0,FALSE,FALSE,TRUE,0,0,,80,TRUE,FALSE,,,FALSE,,,,,
533331,School of Life Sciences,RESIT LIFE102.1.1 (40%) C1T1 August,LIFE102-202324,,263709,2022-08-01 08:30:00+00:00,2022-08-19 15:00:00+00:00,2022-08-19 15:00:00+00:00,https://canvas.liverpool.ac.uk/courses/68943/assignments/263709,0,FALSE,FALSE,TRUE,0,0,,260,TRUE,FALSE,,,FALSE,,,,,
533332,School of Life Sciences,RESIT LIFE102.1.2 (40%) C1T2 August,LIFE102-202324,,263710,2022-08-01 08:30:00+00:00,2022-08-19 15:00:00+00:00,2022-08-19 15:00:00+00:00,https://canvas.liverpool.ac.uk/courses/68943/assignments/263710,0,FALSE,FALSE,TRUE,0,0,,260,TRUE,FALSE,,,FALSE,,,,,
533333,School of Life Sciences,RESIT LIFE102.0.1 (60%) C2T1 August,LIFE102-202324,,263707,2022-08-01 08:30:00+00:00,2022-08-19 15:00:00+00:00,2022-08-19 15:00:00+00:00,https://canvas.liverpool.ac.uk/courses/68943/assignments/263707,0,FALSE,FALSE,TRUE,0,0,,260,TRUE,FALSE,,,FALSE,,,,,
533334,School of Life Sciences,RESIT LIFE102.0.2 (60%) C2T2 August,LIFE102-202324,,263708,2022-08-01 08:30:00+00:00,2022-08-19 15:00:00+00:00,2022-08-19 15:00:00+00:00,https://canvas.liverpool.ac.uk/courses/68943/assignments/263708,0,FALSE,FALSE,TRUE,0,0,,260,TRUE,FALSE,,,FALSE,,,,,
535805,School of Life Sciences,RESIT LIFE230.1 (40%) Individual Report,LIFE230-202324,,265414,2023-08-08 08:30:00+00:00,2023-08-23 15:00:00+00:00,2023-08-23 15:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67633/assignments/265414,0,FALSE,FALSE,TRUE,0,0,,66,FALSE,FALSE,,,FALSE,,,,,
535806,School of Life Sciences,RESIT LIFE230.0 (60%) Final Exam,LIFE230-202324,,265413,,,,https://canvas.liverpool.ac.uk/courses/67633/assignments/265413,0,FALSE,FALSE,TRUE,0,0,,66,TRUE,FALSE,,,FALSE,,,,,
538654,School of Life Sciences,LIFE204.0 RESIT Assessment (Cycle 2 - 60%) ,LIFE204-202324,,265629,2023-05-05 11:00:00+00:00,2023-06-02 11:00:00+00:00,2023-05-22 11:00:00+00:00,https://canvas.liverpool.ac.uk/courses/70031/assignments/265629,0,FALSE,FALSE,TRUE,0,0,,220,FALSE,FALSE,,,FALSE,,,,,
573412,School of Life Sciences,RESIT LIFE112.0 (60%) Cycle 2 Test  23/24,LIFE112-202324,,269341,2024-08-05 08:30:00+00:00,2024-08-30 15:00:00+00:00,2024-08-30 15:00:00+00:00,https://canvas.liverpool.ac.uk/courses/69132/assignments/269341,0,FALSE,FALSE,TRUE,0,0,,82,TRUE,FALSE,,,FALSE,,,,,
684996,School of Life Sciences,LIFE116 Cycle 2 Resit DO NOT PUBLISH,LIFE116-202324,,272367,2024-08-31 23:00:00+00:00,,,https://canvas.liverpool.ac.uk/courses/74354/assignments/272367,0,FALSE,FALSE,TRUE,0,0,,32,TRUE,FALSE,,,FALSE,,,,,
703757,School of Life Sciences,LIFE748.1 50% Assessment 2: Scientific Report -- RESIT,LIFE748-202324,,275363,2024-08-04 23:00:00+00:00,2024-08-23 16:00:00+00:00,,https://canvas.liverpool.ac.uk/courses/67714/assignments/275363,0,FALSE,FALSE,TRUE,0,0,,0,FALSE,FALSE,,,FALSE,,,,,LIFE748.1 Scientific Report Assessment 2 - 19566
706824,School of Life Sciences,RESIT LIFE314.1.1 (40%) - Cycle 1 - QUESTION 1,LIFE314-202324,,276473,2024-02-23 09:30:00+00:00,2024-08-23 12:00:00+00:00,2024-08-21 12:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67689/assignments/276473,0,FALSE,TRUE,TRUE,0,0,,57,FALSE,FALSE,,,FALSE,,,,,LIFE 314/402 Data Interpretation 2324 - 19452
706826,School of Life Sciences,RESIT LIFE314.1.2 (40%) - Cycle 1 - QUESTION 2,LIFE314-202324,,276474,2024-02-23 09:30:00+00:00,2024-08-23 12:00:00+00:00,2024-08-21 12:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67689/assignments/276474,0,FALSE,TRUE,TRUE,0,0,,57,FALSE,FALSE,,,FALSE,,,,,LIFE 314/402 Data Interpretation 2324 - 19452
706828,School of Life Sciences,RESIT LIFE314.0.1 (60%) - Cycle 2 Question 1,LIFE314-202324,,276475,2024-05-03 11:00:00+00:00,2024-08-23 12:00:00+00:00,2024-08-21 12:00:00+00:00,https://canvas.liverpool.ac.uk/courses/67689/assignments/276475,0,FALSE,TRUE,TRUE,0,0,,57,FALSE,FALSE,,,FALSE,,,,,LIFE 314/402 Cycle 2 Rubric 2324 - 16671
